# ----------------------------------------
# Advancia training
# Appareils
# 20150101-20151231
# ----------------------------------------

Marque de l'appareil mobile,Sessions,% nouvelles sessions,Nouveaux utilisateurs,Taux de rebond,Pages/session,Durée moyenne des sessions,Contact (Taux de conversion – Objectif 1),Contact (Réalisations de l'objectif 1),Contact (Valeur de l'objectif 1)
"Samsung,400,""69,00 %"",276,""48,75 %"",""3,05"",00:02:58,""0,00 %"",0,""0,00 $US"""
"Apple,302,""65,89 %"",199,""63,58 %"",""2,38"",00:01:43,""0,33 %"",1,""0,00 $US"""
"Evertek,73,""64,38 %"",47,""56,16 %"",""2,51"",00:02:14,""0,00 %"",0,""0,00 $US"""
"Huawei,49,""77,55 %"",38,""48,98 %"",""4,20"",00:06:12,""0,00 %"",0,""0,00 $US"""
"Nokia,44,""75,00 %"",33,""54,55 %"",""2,36"",00:02:51,""0,00 %"",0,""0,00 $US"""
"Sony,41,""68,29 %"",28,""43,90 %"",""3,20"",00:03:11,""0,00 %"",0,""0,00 $US"""
"Asus,23,""21,74 %"",5,""52,17 %"",""2,74"",00:07:40,""0,00 %"",0,""0,00 $US"""
"HTC,22,""68,18 %"",15,""63,64 %"",""1,95"",00:01:43,""0,00 %"",0,""0,00 $US"""
"Google,16,""75,00 %"",12,""75,00 %"",""2,44"",00:01:32,""0,00 %"",0,""0,00 $US"""
"Wiko,16,""75,00 %"",12,""37,50 %"",""3,44"",00:01:39,""0,00 %"",0,""0,00 $US"""
"Alcatel,15,""73,33 %"",11,""60,00 %"",""2,13"",00:02:19,""0,00 %"",0,""0,00 $US"""
"LG,15,""93,33 %"",14,""73,33 %"",""1,47"",00:01:18,""0,00 %"",0,""0,00 $US"""
"Motorola,15,""13,33 %"",2,""73,33 %"",""1,53"",00:03:11,""0,00 %"",0,""0,00 $US"""
"Lenovo,13,""84,62 %"",11,""53,85 %"",""2,62"",00:02:36,""0,00 %"",0,""0,00 $US"""
"FLY,9,""11,11 %"",1,""77,78 %"",""1,56"",00:01:23,""0,00 %"",0,""0,00 $US"""
"Microsoft,9,""100,00 %"",9,""44,44 %"",""3,00"",00:03:40,""0,00 %"",0,""0,00 $US"""
"BlackBerry,7,""57,14 %"",4,""57,14 %"",""3,00"",00:00:56,""0,00 %"",0,""0,00 $US"""
"Feiteng,5,""100,00 %"",5,""40,00 %"",""3,80"",00:03:45,""0,00 %"",0,""0,00 $US"""
"SonyEricsson,5,""100,00 %"",5,""80,00 %"",""1,60"",00:00:21,""0,00 %"",0,""0,00 $US"""
"Acer,4,""75,00 %"",3,""50,00 %"",""4,25"",00:02:15,""0,00 %"",0,""0,00 $US"""
"HP,4,""25,00 %"",1,""100,00 %"",""1,00"",00:00:00,""0,00 %"",0,""0,00 $US"""
"Toshiba,4,""25,00 %"",1,""25,00 %"",""2,25"",00:02:00,""0,00 %"",0,""0,00 $US"""
"Mozilla,3,""100,00 %"",3,""66,67 %"",""2,00"",00:00:29,""0,00 %"",0,""0,00 $US"""
"Prestigio,3,""33,33 %"",1,""100,00 %"",""1,00"",00:00:00,""0,00 %"",0,""0,00 $US"""
"OnePlus,2,""100,00 %"",2,""50,00 %"",""6,50"",00:08:04,""0,00 %"",0,""0,00 $US"""
"ZTE,2,""100,00 %"",2,""100,00 %"",""1,00"",00:00:00,""0,00 %"",0,""0,00 $US"""
"Hotop,1,""100,00 %"",1,""100,00 %"",""1,00"",00:00:00,""0,00 %"",0,""0,00 $US"""
"NGM,1,""100,00 %"",1,""100,00 %"",""1,00"",00:00:00,""0,00 %"",0,""0,00 $US"""
"Op3n Dott,1,""100,00 %"",1,""0,00 %"",""3,00"",00:02:03,""0,00 %"",0,""0,00 $US"""
"Orange,1,""100,00 %"",1,""0,00 %"",""2,00"",00:00:46,""0,00 %"",0,""0,00 $US"""
"QMobile,1,""100,00 %"",1,""100,00 %"",""1,00"",00:00:00,""0,00 %"",0,""0,00 $US"""
"Versus,1,""100,00 %"",1,""0,00 %"",""8,00"",00:06:56,""0,00 %"",0,""0,00 $US"""
",1 107,""67,39 %"",746,""55,56 %"",""2,74"",00:02:40,""0,09 %"",1,""0,00 $US"""

Index des jours,Sessions
01/01/2015,1
02/01/2015,1
03/01/2015,0
04/01/2015,1
05/01/2015,0
06/01/2015,1
07/01/2015,1
08/01/2015,1
09/01/2015,4
10/01/2015,0
11/01/2015,1
12/01/2015,2
13/01/2015,2
14/01/2015,0
15/01/2015,1
16/01/2015,2
17/01/2015,0
18/01/2015,3
19/01/2015,1
20/01/2015,2
21/01/2015,1
22/01/2015,7
23/01/2015,2
24/01/2015,4
25/01/2015,0
26/01/2015,3
27/01/2015,2
28/01/2015,2
29/01/2015,2
30/01/2015,3
31/01/2015,1
01/02/2015,2
02/02/2015,2
03/02/2015,3
04/02/2015,1
05/02/2015,6
06/02/2015,0
07/02/2015,0
08/02/2015,2
09/02/2015,2
10/02/2015,6
11/02/2015,3
12/02/2015,1
13/02/2015,4
14/02/2015,2
15/02/2015,2
16/02/2015,4
17/02/2015,1
18/02/2015,5
19/02/2015,1
20/02/2015,3
21/02/2015,3
22/02/2015,2
23/02/2015,0
24/02/2015,0
25/02/2015,0
26/02/2015,0
27/02/2015,0
28/02/2015,2
01/03/2015,3
02/03/2015,5
03/03/2015,3
04/03/2015,6
05/03/2015,4
06/03/2015,2
07/03/2015,3
08/03/2015,2
09/03/2015,4
10/03/2015,3
11/03/2015,8
12/03/2015,5
13/03/2015,1
14/03/2015,7
15/03/2015,2
16/03/2015,7
17/03/2015,2
18/03/2015,2
19/03/2015,2
20/03/2015,3
21/03/2015,1
22/03/2015,2
23/03/2015,6
24/03/2015,4
25/03/2015,3
26/03/2015,5
27/03/2015,2
28/03/2015,4
29/03/2015,3
30/03/2015,2
31/03/2015,0
01/04/2015,2
02/04/2015,0
03/04/2015,2
04/04/2015,4
05/04/2015,4
06/04/2015,2
07/04/2015,4
08/04/2015,1
09/04/2015,4
10/04/2015,2
11/04/2015,3
12/04/2015,0
13/04/2015,3
14/04/2015,1
15/04/2015,5
16/04/2015,2
17/04/2015,2
18/04/2015,0
19/04/2015,1
20/04/2015,2
21/04/2015,5
22/04/2015,6
23/04/2015,2
24/04/2015,7
25/04/2015,2
26/04/2015,2
27/04/2015,4
28/04/2015,1
29/04/2015,3
30/04/2015,6
01/05/2015,0
02/05/2015,1
03/05/2015,1
04/05/2015,1
05/05/2015,2
06/05/2015,2
07/05/2015,3
08/05/2015,1
09/05/2015,4
10/05/2015,0
11/05/2015,2
12/05/2015,2
13/05/2015,2
14/05/2015,0
15/05/2015,4
16/05/2015,2
17/05/2015,0
18/05/2015,2
19/05/2015,0
20/05/2015,3
21/05/2015,0
22/05/2015,5
23/05/2015,5
24/05/2015,4
25/05/2015,3
26/05/2015,4
27/05/2015,1
28/05/2015,0
29/05/2015,1
30/05/2015,1
31/05/2015,0
01/06/2015,4
02/06/2015,0
03/06/2015,3
04/06/2015,0
05/06/2015,1
06/06/2015,2
07/06/2015,0
08/06/2015,3
09/06/2015,2
10/06/2015,1
11/06/2015,2
12/06/2015,0
13/06/2015,1
14/06/2015,1
15/06/2015,4
16/06/2015,2
17/06/2015,1
18/06/2015,1
19/06/2015,1
20/06/2015,1
21/06/2015,5
22/06/2015,1
23/06/2015,4
24/06/2015,2
25/06/2015,4
26/06/2015,2
27/06/2015,5
28/06/2015,2
29/06/2015,3
30/06/2015,3
01/07/2015,8
02/07/2015,4
03/07/2015,2
04/07/2015,4
05/07/2015,4
06/07/2015,1
07/07/2015,8
08/07/2015,4
09/07/2015,1
10/07/2015,4
11/07/2015,2
12/07/2015,2
13/07/2015,3
14/07/2015,5
15/07/2015,1
16/07/2015,1
17/07/2015,0
18/07/2015,1
19/07/2015,5
20/07/2015,5
21/07/2015,5
22/07/2015,2
23/07/2015,4
24/07/2015,3
25/07/2015,1
26/07/2015,2
27/07/2015,2
28/07/2015,2
29/07/2015,5
30/07/2015,2
31/07/2015,1
01/08/2015,2
02/08/2015,2
03/08/2015,3
04/08/2015,4
05/08/2015,5
06/08/2015,4
07/08/2015,3
08/08/2015,3
09/08/2015,3
10/08/2015,2
11/08/2015,1
12/08/2015,1
13/08/2015,2
14/08/2015,1
15/08/2015,1
16/08/2015,0
17/08/2015,3
18/08/2015,1
19/08/2015,3
20/08/2015,3
